Date,Open,High,Low,Close,Volume
2024-01-01,1515.53,1516.07,1502.18,1507.31,1819220.0
2024-01-02,1489.56,1496.08,1478.68,1484.24,2010763.0
2024-01-03,1497.08,1505.13,1485.17,1501.4,2173604.0
2024-01-04,1513.88,1528.82,1510.88,1523.03,2100742.0
2024-01-05,1461.38,1478.94,1459.52,1478.92,1438083.0
2024-01-08,1447.32,1453.43,1442.99,1450.47,2449071.0
2024-01-09,1467.76,1473.66,1435.31,1453.69,1962322.0
2024-01-10,1449.75,1453.01,1446.85,1447.23,1555628.0
2024-01-11,1444.06,1453.87,1426.75,1447.3,2475514.0
2024-01-12,1431.87,1435.13,1428.08,1429.21,2250270.0
2024-01-15,1439.45,1459.23,1438.86,1448.49,1494183.0
2024-01-16,1464.09,1478.51,1459.27,1465.83,2710873.0
2024-01-17,1478.275,1478.275,1459.83,1467.72,2010763.0
2024-01-18,1492.46,1507.8,1474.58,1492.98,1995922.0
2024-01-19,1508.65,1518.11,1488.71,1503.9,2636088.0
2024-01-22,1503.13,1503.13,1483.09,1484.96,2063719.0
2024-01-23,1497.61,1498.08,1487.21,1493.62,1988767.0
2024-01-24,1468.53,1475.01,1456.97,1472.59,1735880.0
2024-01-25,1497.79,1500.82,1489.61,1492.43,2232740.0
2024-01-26,1501.48,1507.06,1474.45,1491.76,2190641.0
2024-01-29,1482.3,1491.585,1471.02,1488.07,2005872.0
2024-01-30,1468.09,1476.11,1443.87,1473.32,1684005.0
2024-01-31,1508.8,1512.51,1498.67,1500.78,2051972.0
2024-02-01,1496.61,1503.29,1494.91,1497.75,1972080.0
2024-02-02,1496.94,1515.87,1484.79,1488.58,1466610.0
2024-02-05,1478.54,1484.4,1468.97,1481.16,1411275.0
2024-02-06,1502.12,1521.77,1482.69,1493.43,2226061.0
2024-02-07,1502.86,1503.18,1500.53,1502.07,959245.0
2024-02-08,1513.38,1513.42,1492.45,1511.82,2082164.0
2024-02-09,1531.57,1541.17,1516.4,1522.04,1808767.0
2024-02-12,1569.12,1582.59,1563.89,1571.39,2523299.0
2024-02-13,1556.4,1564.19,1553.51,1562.28,1802613.0
2024-02-14,1547.97,1555.4,1538.85,1550.75,2263794.0
2024-02-15,1535.06,1539.53,1521.58,1532.28,1841234.0
2024-02-16,1537.21,1551.8,1518.69,1546.9,2045499.0
2024-02-19,1577.57,1577.59,1564.5,1573.56,2294735.0
2024-02-20,1567.96,1580.64,1560.91,1571.35,1814978.0
2024-02-21,1559.14,1564.36,1536.3,1552.01,2010763.0
2024-02-22,1518.6,1540.7,1510.12,1533.29,1602521.0
2024-02-23,1543.84,1555.0,1529.79,1548.71,2117837.0
2024-02-26,1555.87,1575.41,1553.44,1566.44,2369056.0
2024-02-27,1574.45,1588.9,1566.52,1579.67,2264015.0
2024-02-28,1565.93,1572.49,1562.15,1564.38,2766578.0
2024-02-29,1569.17,1571.25,1568.18,1570.29,1694624.0
2024-03-01,1571.92,1580.71,1559.05,1573.51,1448340.0
2024-03-04,1578.14,1587.29,1575.9,1579.15,1602266.0
2024-03-05,1601.56,1606.73,1583.16,1600.26,2264177.0
2024-03-06,1599.63,1611.34,1591.92,1606.11,2199169.0
2024-03-07,1627.54,1636.87,1617.58,1622.95,2040903.0
2024-03-08,1629.39,1642.09,1621.22,1625.08,1550817.0
2024-03-11,1635.13,1647.31,1617.26,1632.61,2306747.0
2024-03-12,1652.23,1654.26,1641.4,1648.56,1510118.0
2024-03-13,1614.94,1616.0,1607.4,1613.03,2463580.0
2024-03-14,1618.85,1642.6,1602.25,1605.77,2010763.0
2024-03-15,1594.37,1608.11,1581.21,1594.93,2146580.0
2024-03-18,1578.18,1594.08,1572.23,1580.12,2233243.0
2024-03-19,1569.33,1575.49,1562.47,1574.07,1802856.0
2024-03-20,1603.2,1613.81,1595.77,1609.84,1275915.0
2024-03-21,1581.51,1590.55,1573.83,1589.42,1758912.0
2024-03-22,1607.25,1617.28,1605.84,1612.98,2010763.0
2024-03-25,1572.3,1574.2,1568.6,1572.75,1421198.0
2024-03-26,1567.41,1581.09,1564.0,1571.1799999999998,2688944.0
2024-03-27,1569.93,1574.23,1561.92,1569.61,2109145.0
